"tag","cluster","eigen_centrality","betweenness","closeness","degree.res","degree.centralization","degree.theoretical_max","theme"
"keyboard",7,0.000206559691107571,741.771418693397,0.000137230684781117,57,0.377733628095018,7433802,"arts"
"drummer",7,0.000201162120131822,77.2011731748211,0.000124254473161034,45,0.377733628095018,7433802,"arts"
"singer songwriter",7,0.000198998846905127,569.767052421182,0.0001312163758037,47,0.377733628095018,7433802,"arts"
"hand drum",7,0.000138388561551104,27.9374871744904,0.000115901715345387,17,0.377733628095018,7433802,"arts"
"folk instrument",7,0.00013761773999697,406.077138036522,0.000128633907898122,37,0.377733628095018,7433802,"arts"
"fiddle",7,0.000133439880425786,14.1590735605565,0.000113856313332574,27,0.377733628095018,7433802,"arts"
"davul",7,0.00012176443897552,43.8745100869664,0.000118077695123391,19,0.377733628095018,7433802,"arts"
"tom tom drum",7,0.00011462180479536,45.0279607904028,0.000122473974280465,23,0.377733628095018,7433802,"arts"
"camera accessory",19,0.000111436721209074,128.345248338483,0.00012779552715655,33,0.377733628095018,7433802,"arts"
"brass instrument",7,0.000108896176217575,283.235585925574,0.000125486259254612,31,0.377733628095018,7433802,"arts"
"bowed string instrument",7,0.000106057722259225,128.791079837795,0.000117439812096301,31,0.377733628095018,7433802,"arts"
"sound",7,0.00010574726654483,265.849169621767,0.000121847203606677,42,0.377733628095018,7433802,"arts"
"camera lens",19,0.000105221878188551,98.8048534548781,0.000126518218623482,23,0.377733628095018,7433802,"arts"
"cameras & optics",19,0.000100040619046431,263.46055629951,0.000130753138075314,30,0.377733628095018,7433802,"arts"
"camera",19,9.96213071216086e-05,281.082028251732,0.000132082948091401,30,0.377733628095018,7433802,"arts"
"string instrument accessory",7,9.92540219163127e-05,425.37020367183,0.000127893592531014,38,0.377733628095018,7433802,"arts"
"diatonic button accordion",7,9.26366731451357e-05,95.4807399531219,0.000116427989288625,17,0.377733628095018,7433802,"arts"
"woodwind instrument",7,8.60212040952004e-05,178.551638199927,0.000132257637878587,28,0.377733628095018,7433802,"arts"
"bass drum",7,8.24881796249383e-05,225.860111173079,0.000121669302834895,18,0.377733628095018,7433802,"arts"
"player piano",7,8.10195572255895e-05,214.960215620899,0.00012827090815803,32,0.377733628095018,7433802,"arts"
"single lens reflex camera",19,7.68717653867942e-05,90.3464257278889,0.000126646403242148,23,0.377733628095018,7433802,"arts"
"digital slr",19,6.12940091156293e-05,55.3211577178335,0.000121787845573012,20,0.377733628095018,7433802,"arts"
"orchestra",7,6.1237588565595e-05,277.149096467861,0.000126534227508541,37,0.377733628095018,7433802,"arts"
"music artist",7,5.68365523708776e-05,244.060921185365,0.0001232741617357,31,0.377733628095018,7433802,"arts"
"musical keyboard",7,5.23607965467237e-05,172.347581295076,0.000131891321551042,26,0.377733628095018,7433802,"arts"
"pop music",7,3.97842464597314e-05,85.4758775433012,0.000119760479041916,20,0.377733628095018,7433802,"arts"
"reflex camera",19,3.84985040550472e-05,20.9522943632661,0.0001220703125,16,0.377733628095018,7433802,"arts"
"acoustic guitar",7,3.82562098966454e-05,14.8119745519959,0.000112879557512135,19,0.377733628095018,7433802,"arts"
"digital camera",19,3.48533529147494e-05,0,8.66776458351391e-05,12,0.377733628095018,7433802,"arts"
"singer",7,3.2482046302177e-05,270.973952128711,0.000123289360128221,28,0.377733628095018,7433802,"arts"
"bassist",7,3.21962197038912e-05,137.705128418473,0.000122624156958921,27,0.377733628095018,7433802,"arts"
"violin family",7,3.07364195051794e-05,34.8869651988264,0.000118863663378105,18,0.377733628095018,7433802,"arts"
"guitar accessory",7,2.73108022920995e-05,52.4579831753329,0.000116346713205352,21,0.377733628095018,7433802,"arts"
"mirrorless interchangeable lens camera",19,2.25020820093268e-05,0,0.000106689427077777,11,0.377733628095018,7433802,"arts"
"classical music",7,1.1374795545139e-05,43.7184944664737,0.000115901715345387,30,0.377733628095018,7433802,"arts"
"bass guitar",7,1.12430631910621e-05,134.705372534344,0.000119019281123542,21,0.377733628095018,7433802,"arts"
"fortepiano",7,1.01797331216838e-05,55.6587300004573,0.000118849536486808,16,0.377733628095018,7433802,"arts"
"digital piano",7,8.96677370519964e-06,75.4961976809624,0.00012012012012012,17,0.377733628095018,7433802,"arts"
"flora",20,0.0727197552489227,29149.4460319994,0.000149633398174473,665,0.377733628095018,7433802,"biota"
"fauna",26,0.06130029557088,10985.4143106416,0.000143000143000143,636,0.377733628095018,7433802,"biota"
"wildlife",26,0.0606203375930612,20681.6833845452,0.000146113383985973,539,0.377733628095018,7433802,"biota"
"mammal",14,0.0570987022078926,29020.3836660347,0.000148853825543316,591,0.377733628095018,7433802,"biota"
"bird",26,0.0502279734669557,10566.0148129728,0.000149521531100478,402,0.377733628095018,7433802,"biota"
"flower",20,0.0432896083315621,23813.296783968,0.000148104265402844,739,0.377733628095018,7433802,"biota"
"beak",26,0.0307848871439237,7206.91894058089,0.000146606069491277,324,0.377733628095018,7433802,"biota"
"snout",14,0.0246230623496806,12843.4146491053,0.00014543339150669,530,0.377733628095018,7433802,"biota"
"spring",20,0.0244390203267557,22612.5703518269,0.000147536146355857,441,0.377733628095018,7433802,"biota"
"organism",1,0.0237022607154574,30959.8921964269,0.000143225436837582,637,0.377733628095018,7433802,"biota"
"water bird",26,0.0236089519421079,6208.22926225753,0.000143822810297713,187,0.377733628095018,7433802,"biota"
"twig",14,0.017912117111443,19513.5955137482,0.000145116819039327,260,0.377733628095018,7433802,"biota"
"wildflower",20,0.013752883027571,11161.6022401548,0.000141083521444695,302,0.377733628095018,7433802,"biota"
"shrub",20,0.0131089863578224,21592.5178762398,0.000142511044605957,305,0.377733628095018,7433802,"biota"
"seabird",26,0.0125646152294747,409.805502786177,0.000130667712008363,106,0.377733628095018,7433802,"biota"
"macro photography",1,0.0109243256750745,40988.1203347867,0.000149543891132047,410,0.377733628095018,7433802,"biota"
"duck",26,0.0108704375014599,819.081998663245,0.000135427952329361,98,0.377733628095018,7433802,"biota"
"insect",1,0.0106976231198694,23136.8125126831,0.000146584579302257,301,0.377733628095018,7433802,"biota"
"close up",1,0.0101340048501623,48491.3740174232,0.000146434324205594,578,0.377733628095018,7433802,"biota"
"flowering plant",20,0.00989257886454174,7511.95323156735,0.000143204926249463,311,0.377733628095018,7433802,"biota"
"invertebrate",1,0.00972562780429046,7797.16184413406,0.000141382723031246,245,0.377733628095018,7433802,"biota"
"ducks geese and swans",26,0.00819758266811691,2058.70850509955,0.000138350857775318,105,0.377733628095018,7433802,"biota"
"pollinator",1,0.00680068270533307,18673.3944279848,0.000149835181300569,222,0.377733628095018,7433802,"biota"
